u,k,Dist_uk
372,9,5280
372,10,6280
373,0,3730
373,1,2730
373,2,1730
373,3,730
373,4,270
373,5,1270
373,6,2270
373,7,3270
373,8,4270
373,9,5270
373,10,6270
374,0,3740
374,1,2740
374,2,1740
374,3,740
374,4,260
374,5,1260
374,6,2260
374,7,3260
374,8,4260
374,9,5260
374,10,6260
375,0,3750
375,1,2750
375,2,1750
375,3,750
375,4,250
375,5,1250
375,6,2250
375,7,3250
375,8,4250
375,9,5250
375,10,6250
376,0,3760
376,1,2760
376,2,1760
376,3,760
376,4,240
376,5,1240
376,6,2240
376,7,3240
376,8,4240
376,9,5240
376,10,6240
377,0,3770
377,1,2770
377,2,1770
377,3,770
377,4,230
377,5,1230
377,6,2230
377,7,3230
377,8,4230
377,9,5230
377,10,6230
378,0,3780
378,1,2780
378,2,1780
378,3,780
378,4,220
378,5,1220
378,6,2220
378,7,3220
378,8,4220
378,9,5220
378,10,6220
379,0,3790
379,1,2790
379,2,1790
379,3,790
379,4,210
379,5,1210
379,6,2210
379,7,3210
379,8,4210
379,9,5210
379,10,6210
380,0,3800
380,1,2800
380,2,1800
380,3,800
380,4,200
380,5,1200
380,6,2200
380,7,3200
380,8,4200
380,9,5200
380,10,6200
381,0,3810
381,1,2810
381,2,1810
381,3,810
381,4,190
381,5,1190
381,6,2190
381,7,3190
381,8,4190
381,9,5190
381,10,6190
382,0,3820
382,1,2820
382,2,1820
382,3,820
382,4,180
382,5,1180
382,6,2180
382,7,3180
382,8,4180
382,9,5180
382,10,6180
383,0,3830
383,1,2830
383,2,1830
383,3,830
383,4,170
383,5,1170
383,6,2170
383,7,3170
383,8,4170
383,9,5170
383,10,6170
384,0,3840
384,1,2840
384,2,1840
384,3,840
384,4,160
384,5,1160
384,6,2160
384,7,3160
384,8,4160
384,9,5160
384,10,6160
385,0,3850
385,1,2850
385,2,1850
385,3,850
385,4,150
385,5,1150
385,6,2150
385,7,3150
385,8,4150
385,9,5150
385,10,6150
386,0,3860
386,1,2860
386,2,1860
386,3,860
386,4,140
386,5,1140
386,6,2140
386,7,3140
386,8,4140
386,9,5140
386,10,6140
387,0,3870
387,1,2870
387,2,1870
387,3,870
387,4,130
387,5,1130
387,6,2130
387,7,3130
387,8,4130
387,9,5130
387,10,6130
388,0,3880
388,1,2880
388,2,1880
388,3,880
388,4,120
388,5,1120
388,6,2120
388,7,3120
388,8,4120
388,9,5120
388,10,6120
389,0,3890
389,1,2890
389,2,1890
389,3,890
389,4,110
389,5,1110
389,6,2110
389,7,3110
389,8,4110
389,9,5110
389,10,6110
390,0,3900
390,1,2900
390,2,1900
390,3,900
390,4,100
390,5,1100
390,6,2100
390,7,3100
390,8,4100
390,9,5100
390,10,6100
391,0,3910
391,1,2910
391,2,1910
391,3,910
391,4,90
391,5,1090
391,6,2090
391,7,3090
391,8,4090
391,9,5090
391,10,6090
392,0,3920
392,1,2920
392,2,1920
392,3,920
392,4,80
392,5,1080
392,6,2080
392,7,3080
392,8,4080
392,9,5080
392,10,6080
393,0,3930
393,1,2930
393,2,1930
393,3,930
393,4,70
393,5,1070
393,6,2070
393,7,3070
393,8,4070
393,9,5070
393,10,6070
394,0,3940
394,1,2940
394,2,1940
394,3,940
394,4,60
394,5,1060
394,6,2060
394,7,3060
394,8,4060
394,9,5060
394,10,6060
395,0,3950
395,1,2950
395,2,1950
395,3,950
395,4,50
395,5,1050
395,6,2050
395,7,3050
395,8,4050
395,9,5050
395,10,6050
396,0,3960
396,1,2960
396,2,1960
396,3,960
396,4,40
396,5,1040
396,6,2040
396,7,3040
396,8,4040
396,9,5040
396,10,6040
397,0,3970
397,1,2970
397,2,1970
397,3,970
397,4,30
397,5,1030
397,6,2030
397,7,3030
397,8,4030
397,9,5030
397,10,6030
398,0,3980
398,1,2980
398,2,1980
398,3,980
398,4,20
398,5,1020
398,6,2020
398,7,3020
398,8,4020
398,9,5020
398,10,6020
399,0,3990
399,1,2990
399,2,1990
399,3,990
399,4,10
399,5,1010
399,6,2010
399,7,3010
399,8,4010
399,9,5010
399,10,6010
400,0,4000
400,1,3000
400,2,2000
400,3,1000
400,4,10
400,5,1000
400,6,2000
400,7,3000
400,8,4000
400,9,5000
400,10,6000
401,0,4010
401,1,3010
401,2,2010
401,3,1010
401,4,10
401,5,990
401,6,1990
401,7,2990
401,8,3990
401,9,4990
401,10,5990
402,0,4020
402,1,3020
402,2,2020
402,3,1020
402,4,20
402,5,980
402,6,1980
402,7,2980
402,8,3980
402,9,4980
402,10,5980
403,0,4030
403,1,3030
403,2,2030
403,3,1030
403,4,30
403,5,970
403,6,1970
403,7,2970
403,8,3970
403,9,4970
403,10,5970
404,0,4040
404,1,3040
404,2,2040
404,3,1040
404,4,40
404,5,960
404,6,1960
404,7,2960
404,8,3960
404,9,4960
404,10,5960
405,0,4050
405,1,3050
405,2,2050
405,3,1050
405,4,50
405,5,950
405,6,1950
405,7,2950
405,8,3950
405,9,4950
405,10,5950
406,0,4060
406,1,3060
406,2,2060
406,3,1060
406,4,60
406,5,940
406,6,1940
406,7,2940
406,8,3940
406,9,4940
406,10,5940
407,0,4070
407,1,3070
407,2,2070
407,3,1070
407,4,70
407,5,930
407,6,1930
407,7,2930
407,8,3930
407,9,4930
407,10,5930
408,0,4080
408,1,3080
408,2,2080
408,3,1080
408,4,80
408,5,920
408,6,1920
408,7,2920
408,8,3920
408,9,4920
408,10,5920
409,0,4090
409,1,3090
409,2,2090
409,3,1090
409,4,90
409,5,910
409,6,1910
409,7,2910
409,8,3910
409,9,4910
409,10,5910
410,0,4100
410,1,3100
410,2,2100
410,3,1100
410,4,100
410,5,900
410,6,1900
410,7,2900
410,8,3900
410,9,4900
410,10,5900
411,0,4110
411,1,3110
411,2,2110
411,3,1110
411,4,110
411,5,890
411,6,1890
411,7,2890
411,8,3890
411,9,4890
411,10,5890
412,0,4120
412,1,3120
412,2,2120
412,3,1120
412,4,120
412,5,880
412,6,1880
412,7,2880
412,8,3880
412,9,4880
412,10,5880
413,0,4130
413,1,3130
413,2,2130
413,3,1130
413,4,130
413,5,870
413,6,1870
413,7,2870
413,8,3870
413,9,4870
413,10,5870
414,0,4140
414,1,3140
414,2,2140
414,3,1140
414,4,140
414,5,860
414,6,1860
414,7,2860
414,8,3860
414,9,4860
414,10,5860
415,0,4150
415,1,3150
415,2,2150
415,3,1150
415,4,150
415,5,850
415,6,1850
415,7,2850
415,8,3850
415,9,4850
415,10,5850
416,0,4160
416,1,3160
416,2,2160
416,3,1160
416,4,160
416,5,840
416,6,1840
416,7,2840
416,8,3840
416,9,4840
416,10,5840
417,0,4170
417,1,3170
417,2,2170
417,3,1170
417,4,170
417,5,830
417,6,1830
417,7,2830
417,8,3830
417,9,4830
417,10,5830
418,0,4180
418,1,3180
418,2,2180
418,3,1180
418,4,180
418,5,820
418,6,1820
418,7,2820
418,8,3820
418,9,4820
418,10,5820
419,0,4190
419,1,3190
419,2,2190
419,3,1190
419,4,190
419,5,810
419,6,1810
419,7,2810
419,8,3810
419,9,4810
419,10,5810
420,0,4200
420,1,3200
420,2,2200
420,3,1200
420,4,200
420,5,800
420,6,1800
420,7,2800
420,8,3800
420,9,4800
420,10,5800
421,0,4210
421,1,3210
421,2,2210
421,3,1210
421,4,210
421,5,790
421,6,1790
421,7,2790
421,8,3790
421,9,4790
421,10,5790
422,0,4220
422,1,3220
422,2,2220
422,3,1220
422,4,220
422,5,780
422,6,1780
422,7,2780
422,8,3780
422,9,4780
422,10,5780
423,0,4230
423,1,3230
423,2,2230
423,3,1230
423,4,230
423,5,770
423,6,1770
423,7,2770
423,8,3770
423,9,4770
423,10,5770
424,0,4240
424,1,3240
424,2,2240
424,3,1240
424,4,240
424,5,760
424,6,1760
424,7,2760
424,8,3760
424,9,4760
424,10,5760
425,0,4250
425,1,3250
425,2,2250
425,3,1250
425,4,250
425,5,750
425,6,1750
425,7,2750
425,8,3750
425,9,4750
425,10,5750
426,0,4260
426,1,3260
426,2,2260
426,3,1260
426,4,260
426,5,740
426,6,1740
426,7,2740
426,8,3740
426,9,4740
426,10,5740
427,0,4270
427,1,3270
427,2,2270
427,3,1270
427,4,270
427,5,730
427,6,1730
427,7,2730
427,8,3730
427,9,4730
427,10,5730
428,0,4280
428,1,3280
428,2,2280
428,3,1280
428,4,280
428,5,720
428,6,1720
428,7,2720
428,8,3720
428,9,4720
428,10,5720
429,0,4290
429,1,3290
429,2,2290
429,3,1290
429,4,290
429,5,710
429,6,1710
429,7,2710
429,8,3710
429,9,4710
429,10,5710
430,0,4300
430,1,3300
430,2,2300
430,3,1300
430,4,300
430,5,700
430,6,1700
430,7,2700
430,8,3700
430,9,4700
430,10,5700
431,0,4310
431,1,3310
431,2,2310
431,3,1310
431,4,310
431,5,690
431,6,1690
431,7,2690
431,8,3690
431,9,4690
431,10,5690
432,0,4320
432,1,3320
432,2,2320
432,3,1320
432,4,320
432,5,680
432,6,1680
432,7,2680
432,8,3680
432,9,4680
432,10,5680
433,0,4330
433,1,3330
433,2,2330
433,3,1330
433,4,330
433,5,670
433,6,1670
433,7,2670
433,8,3670
433,9,4670
433,10,5670
434,0,4340
434,1,3340
434,2,2340
434,3,1340
434,4,340
434,5,660
434,6,1660
434,7,2660
434,8,3660
434,9,4660
434,10,5660
435,0,4350
435,1,3350
435,2,2350
435,3,1350
435,4,350
435,5,650
435,6,1650
435,7,2650
435,8,3650
435,9,4650
435,10,5650
436,0,4360
436,1,3360
436,2,2360
436,3,1360
436,4,360
436,5,640
436,6,1640
436,7,2640
436,8,3640
436,9,4640
436,10,5640
437,0,4370
437,1,3370
437,2,2370
437,3,1370
437,4,370
437,5,630
437,6,1630
437,7,2630
437,8,3630
437,9,4630
437,10,5630
438,0,4380
438,1,3380
438,2,2380
438,3,1380
438,4,380
438,5,620
438,6,1620
438,7,2620
438,8,3620
438,9,4620
438,10,5620
439,0,4390
439,1,3390
439,2,2390
439,3,1390
439,4,390
439,5,610
439,6,1610
439,7,2610
439,8,3610
439,9,4610
439,10,5610
440,0,4400
440,1,3400
440,2,2400
440,3,1400
440,4,400
440,5,600
440,6,1600
440,7,2600
440,8,3600
440,9,4600
440,10,5600
441,0,4410
441,1,3410
441,2,2410
441,3,1410
441,4,410
441,5,590
441,6,1590
441,7,2590
441,8,3590
441,9,4590
441,10,5590
442,0,4420
442,1,3420
442,2,2420
442,3,1420
442,4,420
442,5,580
442,6,1580
442,7,2580
442,8,3580
442,9,4580
442,10,5580
443,0,4430
443,1,3430
443,2,2430
443,3,1430
443,4,430
443,5,570
443,6,1570
443,7,2570
443,8,3570
443,9,4570
443,10,5570
444,0,4440
444,1,3440
444,2,2440
444,3,1440
444,4,440
444,5,560
444,6,1560
444,7,2560
444,8,3560
444,9,4560
444,10,5560
445,0,4450
445,1,3450
445,2,2450
445,3,1450
445,4,450
445,5,550
445,6,1550
445,7,2550
445,8,3550
445,9,4550
445,10,5550
446,0,4460
446,1,3460
446,2,2460
446,3,1460
446,4,460
446,5,540
446,6,1540
446,7,2540
446,8,3540
446,9,4540
446,10,5540
447,0,4470
447,1,3470
447,2,2470
447,3,1470
447,4,470
447,5,530
447,6,1530
447,7,2530
447,8,3530
447,9,4530
447,10,5530
448,0,4480
448,1,3480
448,2,2480
448,3,1480
448,4,480
448,5,520
448,6,1520
448,7,2520
448,8,3520
448,9,4520
448,10,5520
449,0,4490
449,1,3490
449,2,2490
449,3,1490
449,4,490
449,5,510
449,6,1510
449,7,2510
449,8,3510
449,9,4510
449,10,5510
450,0,4500
450,1,3500
450,2,2500
450,3,1500
450,4,500
450,5,500
450,6,1500
450,7,2500
450,8,3500
450,9,4500
450,10,5500
451,0,4510
451,1,3510
451,2,2510
451,3,1510
451,4,510
451,5,490
451,6,1490
451,7,2490
451,8,3490
451,9,4490
451,10,5490
452,0,4520
452,1,3520
452,2,2520
452,3,1520
452,4,520
452,5,480
452,6,1480
452,7,2480
452,8,3480
452,9,4480
452,10,5480
453,0,4530
453,1,3530
453,2,2530
453,3,1530
453,4,530
453,5,470
453,6,1470
453,7,2470
453,8,3470
453,9,4470
453,10,5470
454,0,4540
454,1,3540
454,2,2540
454,3,1540
454,4,540
454,5,460
454,6,1460
454,7,2460
454,8,3460
454,9,4460
454,10,5460
455,0,4550
455,1,3550
455,2,2550
455,3,1550
455,4,550
455,5,450
455,6,1450
455,7,2450
455,8,3450
455,9,4450
455,10,5450
456,0,4560
456,1,3560
456,2,2560
456,3,1560
456,4,560
456,5,440
456,6,1440
456,7,2440
456,8,3440
456,9,4440
456,10,5440
457,0,4570
457,1,3570
457,2,2570
457,3,1570
457,4,570
457,5,430
457,6,1430
457,7,2430
457,8,3430
457,9,4430
457,10,5430
458,0,4580
458,1,3580
458,2,2580
458,3,1580
458,4,580
458,5,420
458,6,1420
458,7,2420
458,8,3420
458,9,4420
458,10,5420
459,0,4590
459,1,3590
459,2,2590
459,3,1590
459,4,590
459,5,410
459,6,1410
459,7,2410
459,8,3410
459,9,4410
459,10,5410
460,0,4600
460,1,3600
460,2,2600
460,3,1600
460,4,600
460,5,400
460,6,1400
460,7,2400
460,8,3400
460,9,4400
460,10,5400
461,0,4610
461,1,3610
461,2,2610
461,3,1610
461,4,610
461,5,390
461,6,1390
461,7,2390
461,8,3390
461,9,4390
461,10,5390
462,0,4620
462,1,3620
462,2,2620
462,3,1620
462,4,620
462,5,380
462,6,1380
462,7,2380
462,8,3380
462,9,4380
462,10,5380
463,0,4630
463,1,3630
463,2,2630
463,3,1630
463,4,630
463,5,370
463,6,1370
463,7,2370
463,8,3370
463,9,4370
463,10,5370
464,0,4640
464,1,3640
464,2,2640
464,3,1640
464,4,640
464,5,360
464,6,1360
464,7,2360
464,8,3360
464,9,4360
464,10,5360
465,0,4650
465,1,3650
465,2,2650
465,3,1650
465,4,650
465,5,350
465,6,1350
465,7,2350
465,8,3350
465,9,4350
465,10,5350
466,0,4660
466,1,3660
466,2,2660
466,3,1660
466,4,660
466,5,340
466,6,1340
466,7,2340
466,8,3340
466,9,4340
466,10,5340
467,0,4670
467,1,3670
467,2,2670
467,3,1670
467,4,670
467,5,330
467,6,1330
467,7,2330
467,8,3330
467,9,4330
467,10,5330
468,0,4680
468,1,3680
468,2,2680
468,3,1680
468,4,680
468,5,320
468,6,1320
468,7,2320
468,8,3320
468,9,4320
468,10,5320
469,0,4690
469,1,3690
469,2,2690
469,3,1690
469,4,690
469,5,310
469,6,1310
469,7,2310
469,8,3310
469,9,4310
469,10,5310
470,0,4700
470,1,3700
470,2,2700
470,3,1700
470,4,700
470,5,300
470,6,1300
470,7,2300
470,8,3300
470,9,4300
470,10,5300
471,0,4710
471,1,3710
471,2,2710
471,3,1710
471,4,710
471,5,290
471,6,1290
471,7,2290
471,8,3290
471,9,4290
471,10,5290
472,0,4720
472,1,3720
472,2,2720
472,3,1720
472,4,720
472,5,280
472,6,1280
472,7,2280
472,8,3280
472,9,4280
472,10,5280
473,0,4730
473,1,3730
473,2,2730
473,3,1730
473,4,730
473,5,270
473,6,1270
473,7,2270
473,8,3270
473,9,4270
473,10,5270
474,0,4740
474,1,3740
474,2,2740
474,3,1740
474,4,740
474,5,260
474,6,1260
474,7,2260
474,8,3260
474,9,4260
474,10,5260
475,0,4750
475,1,3750
475,2,2750
475,3,1750
475,4,750
475,5,250
475,6,1250
475,7,2250
475,8,3250
475,9,4250
475,10,5250
476,0,4760
476,1,3760
476,2,2760
476,3,1760
476,4,760
476,5,240
476,6,1240
476,7,2240
476,8,3240
476,9,4240
476,10,5240
477,0,4770
477,1,3770
477,2,2770
477,3,1770
477,4,770
477,5,230
477,6,1230
477,7,2230
477,8,3230
477,9,4230
477,10,5230
478,0,4780
478,1,3780
478,2,2780
478,3,1780
478,4,780
478,5,220
478,6,1220
478,7,2220
478,8,3220
478,9,4220
478,10,5220
479,0,4790
479,1,3790
479,2,2790
479,3,1790
479,4,790
479,5,210
479,6,1210
479,7,2210
479,8,3210
479,9,4210
479,10,5210
480,0,4800
480,1,3800
480,2,2800
480,3,1800
480,4,800
480,5,200
480,6,1200
480,7,2200
480,8,3200
480,9,4200
480,10,5200
481,0,4810
481,1,3810
481,2,2810
481,3,1810
481,4,810
481,5,190
481,6,1190
481,7,2190
481,8,3190
481,9,4190
481,10,5190
482,0,4820
482,1,3820
482,2,2820
482,3,1820
482,4,820
482,5,180
482,6,1180
482,7,2180
482,8,3180
482,9,4180
482,10,5180
483,0,4830
483,1,3830
483,2,2830
483,3,1830
483,4,830
483,5,170
483,6,1170
483,7,2170
483,8,3170
483,9,4170
483,10,5170
484,0,4840
484,1,3840
484,2,2840
484,3,1840
484,4,840
484,5,160
484,6,1160
484,7,2160
484,8,3160
484,9,4160
484,10,5160
485,0,4850
485,1,3850
485,2,2850
485,3,1850
485,4,850
485,5,150
485,6,1150
485,7,2150
485,8,3150
485,9,4150
485,10,5150
486,0,4860
486,1,3860
486,2,2860
486,3,1860
486,4,860
486,5,140
486,6,1140
486,7,2140
486,8,3140
486,9,4140
486,10,5140
487,0,4870
487,1,3870
487,2,2870
487,3,1870
487,4,870
487,5,130
487,6,1130
487,7,2130
487,8,3130
487,9,4130
487,10,5130
488,0,4880
488,1,3880
488,2,2880
488,3,1880
488,4,880
488,5,120
488,6,1120
488,7,2120
488,8,3120
488,9,4120
488,10,5120
489,0,4890
489,1,3890
489,2,2890
489,3,1890
489,4,890
489,5,110
489,6,1110
489,7,2110
489,8,3110
489,9,4110
489,10,5110
490,0,4900
490,1,3900
490,2,2900
490,3,1900
490,4,900
490,5,100
490,6,1100
490,7,2100
490,8,3100
490,9,4100
490,10,5100
491,0,4910
491,1,3910
491,2,2910
491,3,1910
491,4,910
491,5,90
491,6,1090
491,7,2090
491,8,3090
491,9,4090
491,10,5090
492,0,4920
492,1,3920
492,2,2920
492,3,1920
492,4,920
492,5,80
492,6,1080
492,7,2080
492,8,3080
492,9,4080
492,10,5080
493,0,4930
493,1,3930
493,2,2930
493,3,1930
493,4,930
493,5,70
493,6,1070
493,7,2070
493,8,3070
493,9,4070
493,10,5070
494,0,4940
494,1,3940
494,2,2940
494,3,1940
494,4,940
494,5,60
494,6,1060
494,7,2060
494,8,3060
494,9,4060
494,10,5060
495,0,4950
495,1,3950
495,2,2950
495,3,1950
495,4,950
495,5,50
495,6,1050
495,7,2050
495,8,3050
495,9,4050
495,10,5050
496,0,4960
496,1,3960
496,2,2960
496,3,1960
496,4,960
496,5,40
496,6,1040
496,7,2040
496,8,3040
496,9,4040
496,10,5040
497,0,4970
497,1,3970
497,2,2970
497,3,1970
497,4,970
497,5,30
497,6,1030
497,7,2030
497,8,3030
497,9,4030
497,10,5030
498,0,4980
498,1,3980
498,2,2980
498,3,1980
498,4,980
498,5,20
498,6,1020
498,7,2020
498,8,3020
498,9,4020
498,10,5020
499,0,4990
499,1,3990
499,2,2990
499,3,1990
499,4,990
499,5,10
499,6,1010
499,7,2010
499,8,3010
499,9,4010
499,10,5010
500,0,5000
500,1,4000
500,2,3000
500,3,2000
500,4,1000
500,5,10
500,6,1000
500,7,2000
500,8,3000
500,9,4000
500,10,5000
501,0,5010
501,1,4010
501,2,3010
501,3,2010
501,4,1010
501,5,10
501,6,990
501,7,1990
501,8,2990
501,9,3990
501,10,4990
502,0,5020
502,1,4020
502,2,3020
502,3,2020
502,4,1020
502,5,20
502,6,980
502,7,1980
502,8,2980
502,9,3980
502,10,4980
503,0,5030
503,1,4030
503,2,3030
503,3,2030
503,4,1030
503,5,30
503,6,970
503,7,1970
503,8,2970
503,9,3970
503,10,4970
504,0,5040
504,1,4040
504,2,3040
504,3,2040
504,4,1040
504,5,40
504,6,960
504,7,1960
504,8,2960
504,9,3960
504,10,4960
505,0,5050
505,1,4050
505,2,3050
505,3,2050
505,4,1050
505,5,50
505,6,950
505,7,1950
505,8,2950
505,9,3950
505,10,4950
506,0,5060
506,1,4060
506,2,3060
506,3,2060
506,4,1060
506,5,60
506,6,940
506,7,1940
506,8,2940
506,9,3940
506,10,4940
507,0,5070
507,1,4070
507,2,3070
507,3,2070
507,4,1070
507,5,70
507,6,930
507,7,1930
507,8,2930
507,9,3930
507,10,4930
508,0,5080
508,1,4080
508,2,3080
508,3,2080
508,4,1080
508,5,80
508,6,920
508,7,1920
508,8,2920
508,9,3920
508,10,4920
509,0,5090
509,1,4090
509,2,3090
509,3,2090
509,4,1090
509,5,90
509,6,910
509,7,1910
509,8,2910
509,9,3910
509,10,4910
510,0,5100
510,1,4100
510,2,3100
510,3,2100
510,4,1100
510,5,100
510,6,900
510,7,1900
510,8,2900
510,9,3900
510,10,4900
511,0,5110
511,1,4110
511,2,3110
511,3,2110
511,4,1110
511,5,110
511,6,890
511,7,1890
511,8,2890
511,9,3890
511,10,4890
512,0,5120
512,1,4120
512,2,3120
512,3,2120
512,4,1120
512,5,120
512,6,880
512,7,1880
512,8,2880
512,9,3880
512,10,4880
513,0,5130
513,1,4130
513,2,3130
513,3,2130
513,4,1130
513,5,130
513,6,870
513,7,1870
513,8,2870
513,9,3870
513,10,4870
514,0,5140
514,1,4140
514,2,3140
514,3,2140
514,4,1140
514,5,140
514,6,860
514,7,1860
514,8,2860
514,9,3860
514,10,4860
515,0,5150
515,1,4150
515,2,3150
515,3,2150
515,4,1150
515,5,150
515,6,850
515,7,1850
515,8,2850
515,9,3850
515,10,4850
516,0,5160
516,1,4160
516,2,3160
516,3,2160
516,4,1160
516,5,160
516,6,840
516,7,1840
516,8,2840
516,9,3840
516,10,4840
517,0,5170
517,1,4170
517,2,3170
517,3,2170
517,4,1170
517,5,170
517,6,830
517,7,1830
517,8,2830
517,9,3830
517,10,4830
518,0,5180
518,1,4180
518,2,3180
518,3,2180
518,4,1180
518,5,180
518,6,820
518,7,1820
518,8,2820
518,9,3820
518,10,4820
519,0,5190
519,1,4190
519,2,3190
519,3,2190
519,4,1190
519,5,190
519,6,810
519,7,1810
519,8,2810
519,9,3810
519,10,4810
520,0,5200
520,1,4200
520,2,3200
520,3,2200
520,4,1200
520,5,200
520,6,800
520,7,1800
520,8,2800
520,9,3800
520,10,4800
521,0,5210
521,1,4210
521,2,3210
521,3,2210
521,4,1210
521,5,210
521,6,790
521,7,1790
521,8,2790
521,9,3790
521,10,4790
522,0,5220
522,1,4220
522,2,3220
522,3,2220
522,4,1220
522,5,220
522,6,780
522,7,1780
522,8,2780
522,9,3780
522,10,4780
523,0,5230
523,1,4230
523,2,3230
523,3,2230
523,4,1230
523,5,230
523,6,770
523,7,1770
523,8,2770
523,9,3770
523,10,4770
524,0,5240
524,1,4240
524,2,3240
524,3,2240
524,4,1240
524,5,240
524,6,760
524,7,1760
524,8,2760
524,9,3760
524,10,4760
525,0,5250
525,1,4250
525,2,3250
525,3,2250
525,4,1250
525,5,250
525,6,750
525,7,1750
525,8,2750
525,9,3750
525,10,4750
526,0,5260
526,1,4260
526,2,3260
526,3,2260
526,4,1260
526,5,260
526,6,740
526,7,1740
526,8,2740
526,9,3740
526,10,4740
527,0,5270
527,1,4270
527,2,3270
527,3,2270
527,4,1270
527,5,270
527,6,730
527,7,1730
527,8,2730
527,9,3730
527,10,4730
528,0,5280
528,1,4280
528,2,3280
528,3,2280
528,4,1280
528,5,280
528,6,720
528,7,1720
528,8,2720
528,9,3720
528,10,4720
529,0,5290
529,1,4290
529,2,3290
529,3,2290
529,4,1290
529,5,290
529,6,710
529,7,1710
529,8,2710
529,9,3710
529,10,4710
530,0,5300
530,1,4300
530,2,3300
530,3,2300
530,4,1300
530,5,300
530,6,700
530,7,1700
530,8,2700
530,9,3700
530,10,4700
531,0,5310
531,1,4310
531,2,3310
531,3,2310
531,4,1310
531,5,310
531,6,690
531,7,1690
531,8,2690
531,9,3690
531,10,4690
532,0,5320
532,1,4320
532,2,3320
532,3,2320
532,4,1320
532,5,320
532,6,680
532,7,1680
532,8,2680
532,9,3680
532,10,4680
533,0,5330
533,1,4330
533,2,3330
533,3,2330
533,4,1330
533,5,330
533,6,670
533,7,1670
533,8,2670
533,9,3670
533,10,4670
534,0,5340
534,1,4340
534,2,3340
534,3,2340
534,4,1340
534,5,340
534,6,660
534,7,1660
534,8,2660
534,9,3660
534,10,4660
535,0,5350
535,1,4350
535,2,3350
535,3,2350
535,4,1350
535,5,350
535,6,650
535,7,1650
535,8,2650
535,9,3650
535,10,4650
536,0,5360
536,1,4360
536,2,3360
536,3,2360
536,4,1360
536,5,360
536,6,640
536,7,1640
536,8,2640
536,9,3640
536,10,4640
537,0,5370
537,1,4370
537,2,3370
537,3,2370
537,4,1370
537,5,370
537,6,630
537,7,1630
537,8,2630
537,9,3630
537,10,4630
538,0,5380
538,1,4380
538,2,3380
538,3,2380
538,4,1380
538,5,380
538,6,620
538,7,1620
538,8,2620
538,9,3620
538,10,4620
539,0,5390
539,1,4390
539,2,3390
539,3,2390
539,4,1390
539,5,390
539,6,610
539,7,1610
539,8,2610
539,9,3610
539,10,4610
540,0,5400
540,1,4400
540,2,3400
540,3,2400
540,4,1400
540,5,400
540,6,600
540,7,1600
540,8,2600
540,9,3600
540,10,4600
541,0,5410
541,1,4410
541,2,3410
541,3,2410
541,4,1410
541,5,410
541,6,590
541,7,1590
541,8,2590
541,9,3590
541,10,4590
542,0,5420
542,1,4420
542,2,3420
542,3,2420
542,4,1420
542,5,420
542,6,580
542,7,1580
542,8,2580
542,9,3580
542,10,4580
543,0,5430
543,1,4430
543,2,3430
543,3,2430
543,4,1430
543,5,430
543,6,570
543,7,1570
543,8,2570
543,9,3570
543,10,4570
544,0,5440
544,1,4440
544,2,3440
544,3,2440
544,4,1440
544,5,440
544,6,560
544,7,1560
544,8,2560
544,9,3560
544,10,4560
545,0,5450
545,1,4450
545,2,3450
545,3,2450
545,4,1450
545,5,450
545,6,550
545,7,1550
545,8,2550
545,9,3550
545,10,4550
546,0,5460
546,1,4460
546,2,3460
546,3,2460
546,4,1460
546,5,460
546,6,540
546,7,1540
546,8,2540
546,9,3540
546,10,4540
547,0,5470
547,1,4470
547,2,3470
547,3,2470
547,4,1470
547,5,470
547,6,530
547,7,1530
547,8,2530
547,9,3530
547,10,4530
548,0,5480
548,1,4480
548,2,3480
548,3,2480
548,4,1480
548,5,480
548,6,520
548,7,1520
548,8,2520
548,9,3520
548,10,4520
549,0,5490
549,1,4490
549,2,3490
549,3,2490
549,4,1490
549,5,490
549,6,510
549,7,1510
549,8,2510
549,9,3510
549,10,4510
550,0,5500
550,1,4500
550,2,3500
550,3,2500
550,4,1500
550,5,500
550,6,500
550,7,1500
550,8,2500
550,9,3500
550,10,4500
551,0,5510
551,1,4510
551,2,3510
551,3,2510
551,4,1510
551,5,510
551,6,490
551,7,1490
551,8,2490
551,9,3490
551,10,4490
552,0,5520
552,1,4520
552,2,3520
552,3,2520
552,4,1520
552,5,520
552,6,480
552,7,1480
552,8,2480
552,9,3480
552,10,4480
553,0,5530
553,1,4530
553,2,3530
553,3,2530
553,4,1530
553,5,530
553,6,470
553,7,1470
553,8,2470
553,9,3470
553,10,4470
554,0,5540
554,1,4540
554,2,3540
554,3,2540
554,4,1540
554,5,540
554,6,460
554,7,1460
554,8,2460
554,9,3460
554,10,4460
555,0,5550
555,1,4550
555,2,3550
555,3,2550
555,4,1550
555,5,550
555,6,450
555,7,1450
555,8,2450
555,9,3450
555,10,4450
556,0,5560
556,1,4560
556,2,3560
556,3,2560
556,4,1560
556,5,560
556,6,440
556,7,1440
556,8,2440
556,9,3440
556,10,4440
557,0,5570
557,1,4570
557,2,3570
557,3,2570
557,4,1570
557,5,570
557,6,430
557,7,1430
557,8,2430
557,9,3430
557,10,4430
558,0,5580
558,1,4580
558,2,3580
558,3,2580
558,4,1580
558,5,580
558,6,420
558,7,1420
558,8,2420
558,9,3420
558,10,4420
559,0,5590
559,1,4590
559,2,3590
